Accession	Sample Name	SPUID	Organism	Tax ID	
SAMN42774664	MQ230313-58	MQ230313-58	wastewater metagenome	527639	
SAMN42774665	MQ230313-59	MQ230313-59	wastewater metagenome	527639	
SAMN42774666	MQ230313-60	MQ230313-60	wastewater metagenome	527639	
SAMN42774667	MQ230313-61	MQ230313-61	wastewater metagenome	527639	
SAMN42774668	MQ230313-62	MQ230313-62	wastewater metagenome	527639	
SAMN42774669	MQ230313-63	MQ230313-63	wastewater metagenome	527639	
SAMN42774670	MQ230313-64	MQ230313-64	wastewater metagenome	527639	
SAMN42774671	MQ230313-66	MQ230313-66	wastewater metagenome	527639	
SAMN42774672	MQ230313-67	MQ230313-67	wastewater metagenome	527639	
SAMN42774673	MQ230313-68	MQ230313-68	wastewater metagenome	527639	
SAMN42774674	MQ230313-69	MQ230313-69	wastewater metagenome	527639	
SAMN42774675	MQ230313-71	MQ230313-71	wastewater metagenome	527639	
SAMN42774676	MQ230313-72	MQ230313-72	wastewater metagenome	527639	
SAMN42774677	MQ230313-73	MQ230313-73	wastewater metagenome	527639	
SAMN42774678	MQ230313-74	MQ230313-74	wastewater metagenome	527639	
SAMN42774679	MQ230313-75	MQ230313-75	wastewater metagenome	527639	
SAMN42774680	MQ230313-76	MQ230313-76	wastewater metagenome	527639	
SAMN42774681	MQ230313-77	MQ230313-77	wastewater metagenome	527639	
SAMN42774682	MQ230313-78	MQ230313-78	wastewater metagenome	527639	
SAMN42774683	MQ230313-79	MQ230313-79	wastewater metagenome	527639	
SAMN42774684	MQ230313-80	MQ230313-80	wastewater metagenome	527639	
SAMN42774685	MQ230313-81	MQ230313-81	wastewater metagenome	527639	
SAMN42774686	MQ230313-82	MQ230313-82	wastewater metagenome	527639	
SAMN42774687	MQ230313-83	MQ230313-83	wastewater metagenome	527639	
SAMN42774688	MQ230313-84	MQ230313-84	wastewater metagenome	527639	
SAMN42774689	MQ230313-85	MQ230313-85	wastewater metagenome	527639	
SAMN42774690	MQ230313-86	MQ230313-86	wastewater metagenome	527639	
SAMN42774691	MQ230313-87	MQ230313-87	wastewater metagenome	527639	
SAMN42774692	MQ230313-88	MQ230313-88	wastewater metagenome	527639	
SAMN42774693	MQ230313-89	MQ230313-89	wastewater metagenome	527639	
SAMN42774694	MQ230313-90	MQ230313-90	wastewater metagenome	527639	
SAMN42774695	MQ230313-91	MQ230313-91	wastewater metagenome	527639	
SAMN42774696	MQ230313-92	MQ230313-92	wastewater metagenome	527639	
SAMN42774697	MQ230313-93	MQ230313-93	wastewater metagenome	527639	
SAMN42774698	MQ230313-94	MQ230313-94	wastewater metagenome	527639	
SAMN42774699	MQ230313-95	MQ230313-95	wastewater metagenome	527639	
SAMN42774700	MQ230313-96	MQ230313-96	wastewater metagenome	527639	
SAMN42774701	MQ230313-97	MQ230313-97	wastewater metagenome	527639	
SAMN42774702	MQ230313-98	MQ230313-98	wastewater metagenome	527639	
SAMN42774703	MQ230313-99	MQ230313-99	wastewater metagenome	527639	
SAMN42774704	MQ230313-100	MQ230313-100	wastewater metagenome	527639	
SAMN42774705	MQ230313-101	MQ230313-101	wastewater metagenome	527639	
SAMN42774706	MQ230313-102	MQ230313-102	wastewater metagenome	527639	
SAMN42774707	MQ230313-103	MQ230313-103	wastewater metagenome	527639	
SAMN42774708	MQ230313-104	MQ230313-104	sediment metagenome	749907	
SAMN42774709	MQ230313-105	MQ230313-105	sediment metagenome	749907	
SAMN42774710	MQ230313-106	MQ230313-106	biofilm metagenome	718308	
SAMN42774711	MQ230313-107	MQ230313-107	sediment metagenome	749907	
SAMN42774712	MQ230313-109	MQ230313-109	biofilm metagenome	718308	
SAMN42774713	MQ230313-111	MQ230313-111	biofilm metagenome	718308	
SAMN42774714	MQ230313-113	MQ230313-113	biofilm metagenome	718308	
SAMN42774715	MQ230313-114	MQ230313-114	sediment metagenome	749907	
SAMN42774716	MQ230313-116	MQ230313-116	biofilm metagenome	718308	
SAMN42774717	MQ230313-120	MQ230313-120	biofilm metagenome	718308	
SAMN42774718	MQ230313-121	MQ230313-121	biofilm metagenome	718308	
SAMN42774719	MQ230313-122	MQ230313-122	sediment metagenome	749907	
SAMN42774720	MQ230313-123	MQ230313-123	biofilm metagenome	718308	
SAMN42774721	MQ230313-125	MQ230313-125	sediment metagenome	749907	
SAMN42774722	MQ230313-130	MQ230313-130	sediment metagenome	749907	
SAMN42774723	MQ230313-131	MQ230313-131	biofilm metagenome	718308	
SAMN42774724	MQ230313-132	MQ230313-132	biofilm metagenome	718308	
SAMN42774725	MQ230313-133	MQ230313-133	sediment metagenome	749907	
SAMN42774726	MQ230313-134	MQ230313-134	biofilm metagenome	718308	
SAMN42774727	MQ230313-137	MQ230313-137	biofilm metagenome	718308	
SAMN42774728	MQ230313-138	MQ230313-138	biofilm metagenome	718308	
SAMN42774729	MQ230313-139	MQ230313-139	sediment metagenome	749907	
SAMN42774730	MQ230313-140	MQ230313-140	biofilm metagenome	718308	
SAMN42774731	MQ230313-142	MQ230313-142	biofilm metagenome	718308	
SAMN42774732	MQ230313-143	MQ230313-143	sediment metagenome	749907	
SAMN42774733	MQ230313-144	MQ230313-144	sediment metagenome	749907	
SAMN42774734	MQ230313-145	MQ230313-145	biofilm metagenome	718308	
SAMN42774735	MQ230313-146	MQ230313-146	biofilm metagenome	718308	
SAMN42774736	MQ220419-205	MQ220419-205	biofilm metagenome	718308	
SAMN42774737	MQ220419-207	MQ220419-207	biofilm metagenome	718308	
SAMN42774738	MQ220419-209	MQ220419-209	biofilm metagenome	718308	
SAMN42774739	MQ220419-211	MQ220419-211	biofilm metagenome	718308	
SAMN42774740	MQ220419-212	MQ220419-212	biofilm metagenome	718308	
SAMN42774741	MQ220419-214	MQ220419-214	biofilm metagenome	718308	
SAMN42774742	MQ220419-215	MQ220419-215	biofilm metagenome	718308	
SAMN42774743	MQ220419-217	MQ220419-217	biofilm metagenome	718308	
SAMN42774744	MQ220419-218	MQ220419-218	biofilm metagenome	718308	
SAMN42774745	MQ220419-219	MQ220419-219	biofilm metagenome	718308	
SAMN42774746	MQ220419-220	MQ220419-220	biofilm metagenome	718308	
SAMN42774747	MQ220419-226	MQ220419-226	biofilm metagenome	718308	
SAMN42774748	MQ220419-230	MQ220419-230	sediment metagenome	749907	
SAMN42774749	MQ220419-231	MQ220419-231	sediment metagenome	749907	
SAMN42774750	MQ220419-232	MQ220419-232	sediment metagenome	749907	
SAMN42774751	MQ220419-233	MQ220419-233	sediment metagenome	749907	
SAMN42774752	MQ220228-228	MQ220228-228	sediment metagenome	749907	
SAMN42774753	MQ220228-229	MQ220228-229	sediment metagenome	749907	
SAMN42774754	MQ220228-230	MQ220228-230	sediment metagenome	749907	
SAMN42774755	MQ220228-235	MQ220228-235	wastewater metagenome	527639	
SAMN42774756	MQ220228-236	MQ220228-236	wastewater metagenome	527639	
SAMN42774757	MQ220228-237	MQ220228-237	wastewater metagenome	527639	
SAMN42774758	MQ220228-253	MQ220228-253	biofilm metagenome	718308	
SAMN42774759	MQ220228-254	MQ220228-254	biofilm metagenome	718308	
SAMN42774760	MQ220228-255	MQ220228-255	biofilm metagenome	718308	
SAMN42774761	MQ210118-152	MQ210118-152	activated sludge metagenome	942017	
SAMN42774762	MQ210416-47	MQ210416-47	wastewater metagenome	527639	
SAMN42774763	MQ210416-48	MQ210416-48	wastewater metagenome	527639	
SAMN42774764	MQ210416-51	MQ210416-51	wastewater metagenome	527639	
SAMN42774765	MQ210416-52	MQ210416-52	wastewater metagenome	527639	
SAMN42774766	MQ210416-53	MQ210416-53	wastewater metagenome	527639	
SAMN42774767	MQ210416-54	MQ210416-54	wastewater metagenome	527639	
SAMN42774768	MQ190702-173	MQ190702-173	activated sludge metagenome	942017	
SAMN42774769	MQ190702-174	MQ190702-174	activated sludge metagenome	942017	
SAMN42774770	MQ190702-178	MQ190702-178	activated sludge metagenome	942017	
SAMN42774771	MQ190702-179	MQ190702-179	activated sludge metagenome	942017	
SAMN42774772	MQ190702-180	MQ190702-180	activated sludge metagenome	942017	
SAMN42774773	MQ190702-181	MQ190702-181	activated sludge metagenome	942017	
SAMN42774774	MQ190702-182	MQ190702-182	activated sludge metagenome	942017	
SAMN42774775	MQ190702-183	MQ190702-183	activated sludge metagenome	942017	
SAMN42774776	MQ190702-184	MQ190702-184	activated sludge metagenome	942017	
SAMN42774777	MQ190702-185	MQ190702-185	activated sludge metagenome	942017	
SAMN42774778	MQ190702-186	MQ190702-186	activated sludge metagenome	942017	
SAMN42774779	MQ190702-187	MQ190702-187	activated sludge metagenome	942017	
SAMN42774780	MQ190702-188	MQ190702-188	activated sludge metagenome	942017	
SAMN42774781	MQ190702-189	MQ190702-189	activated sludge metagenome	942017	
SAMN42774782	MQ190702-190	MQ190702-190	activated sludge metagenome	942017	
SAMN42774783	MQ190702-191	MQ190702-191	activated sludge metagenome	942017	
SAMN42774784	MQ190702-192	MQ190702-192	activated sludge metagenome	942017	
SAMN42774785	MQ190702-193	MQ190702-193	activated sludge metagenome	942017	
SAMN42774786	MQ190702-194	MQ190702-194	activated sludge metagenome	942017	
SAMN42774787	MQ190702-195	MQ190702-195	activated sludge metagenome	942017	
SAMN42774788	MQ190702-196	MQ190702-196	activated sludge metagenome	942017	
SAMN42774789	MQ190702-198	MQ190702-198	activated sludge metagenome	942017	
SAMN42774790	MQ200420-66	MQ200420-66	activated sludge metagenome	942017	
SAMN42774791	MQ200420-67	MQ200420-67	activated sludge metagenome	942017	
SAMN42774792	MQ200420-69	MQ200420-69	activated sludge metagenome	942017	
SAMN42774793	MQ200420-70	MQ200420-70	activated sludge metagenome	942017	
SAMN42774794	MQ200420-71	MQ200420-71	activated sludge metagenome	942017	
SAMN42774795	MQ200420-72	MQ200420-72	activated sludge metagenome	942017	
SAMN42774796	MQ200420-73	MQ200420-73	activated sludge metagenome	942017	
SAMN42774797	MQ200420-74	MQ200420-74	activated sludge metagenome	942017	
SAMN42774798	MQ200420-75	MQ200420-75	activated sludge metagenome	942017	
SAMN42774799	MQ200420-76	MQ200420-76	activated sludge metagenome	942017	
SAMN42774800	MQ200420-77	MQ200420-77	activated sludge metagenome	942017	
SAMN42774801	MQ200420-80	MQ200420-80	activated sludge metagenome	942017	
SAMN42774802	MQ200420-81	MQ200420-81	activated sludge metagenome	942017	
SAMN42774803	MQ200420-82	MQ200420-82	activated sludge metagenome	942017	
SAMN42774804	MQ200420-83	MQ200420-83	activated sludge metagenome	942017	
SAMN42774805	MQ200420-84	MQ200420-84	activated sludge metagenome	942017	
SAMN42774806	MQ200420-85	MQ200420-85	activated sludge metagenome	942017	
SAMN42774807	MQ200420-86	MQ200420-86	activated sludge metagenome	942017	
SAMN42774808	MQ200420-87	MQ200420-87	activated sludge metagenome	942017	
SAMN42774809	MQ200420-89	MQ200420-89	activated sludge metagenome	942017	
SAMN42774810	MQ200420-90	MQ200420-90	activated sludge metagenome	942017	
SAMN42774811	MQ200420-91	MQ200420-91	activated sludge metagenome	942017	
SAMN42774812	MQ200420-92	MQ200420-92	activated sludge metagenome	942017	
SAMN42774813	MQ200420-93	MQ200420-93	activated sludge metagenome	942017	
SAMN42774814	MQ200420-94	MQ200420-94	activated sludge metagenome	942017	
SAMN42774815	MQ200420-95	MQ200420-95	activated sludge metagenome	942017	
SAMN42774816	MQ200420-96	MQ200420-96	activated sludge metagenome	942017	
SAMN42774817	MQ200420-97	MQ200420-97	activated sludge metagenome	942017	
SAMN42774818	MQ200420-98	MQ200420-98	activated sludge metagenome	942017	
SAMN42774819	MQ200420-99	MQ200420-99	activated sludge metagenome	942017	
SAMN42774820	MQ200420-100	MQ200420-100	activated sludge metagenome	942017	
SAMN42774821	MQ201130-51	MQ201130-51	wastewater metagenome	527639	
SAMN42774822	MQ201130-52	MQ201130-52	wastewater metagenome	527639	
SAMN42774823	MQ201130-53	MQ201130-53	wastewater metagenome	527639	
SAMN42774824	MQ201130-54	MQ201130-54	wastewater metagenome	527639	
SAMN42774825	MQ201130-55	MQ201130-55	wastewater metagenome	527639	
SAMN42774826	MQ201130-56	MQ201130-56	wastewater metagenome	527639	
SAMN42774827	MQ201130-57	MQ201130-57	wastewater metagenome	527639	
SAMN42774828	MQ201130-58	MQ201130-58	wastewater metagenome	527639	
SAMN42774829	MQ201130-59	MQ201130-59	wastewater metagenome	527639	
SAMN42774830	MQ201130-60	MQ201130-60	wastewater metagenome	527639	
SAMN42774831	MQ210118-143	MQ210118-143	activated sludge metagenome	942017	
SAMN42774832	MQ210118-144	MQ210118-144	activated sludge metagenome	942017	
SAMN42774833	MQ210118-145	MQ210118-145	activated sludge metagenome	942017	
SAMN42774834	MQ210118-146	MQ210118-146	activated sludge metagenome	942017	
SAMN42774835	MQ210118-147	MQ210118-147	activated sludge metagenome	942017	
SAMN42774836	MQ210118-148	MQ210118-148	activated sludge metagenome	942017	
SAMN42774837	MQ210118-149	MQ210118-149	activated sludge metagenome	942017	
SAMN42774838	MQ210118-150	MQ210118-150	activated sludge metagenome	942017	
SAMN42774839	MQ210118-151	MQ210118-151	activated sludge metagenome	942017	
SAMN42774840	MQ220615-259	MQ220615-259	activated sludge metagenome	942017	
SAMN42774841	MQ220615-260	MQ220615-260	activated sludge metagenome	942017	
SAMN42774842	MQ220615-261	MQ220615-261	activated sludge metagenome	942017	
SAMN42774843	MQ220615-262	MQ220615-262	activated sludge metagenome	942017	
SAMN42774844	MQ220615-263	MQ220615-263	activated sludge metagenome	942017	
SAMN42774845	MQ220615-264	MQ220615-264	activated sludge metagenome	942017	
SAMN42774846	MQ220615-266	MQ220615-266	activated sludge metagenome	942017	
