accession	message	sample_name	sample_title	bioproject_accession	organism	collection_date	env_broad_scale	env_local_scale	env_medium	geo_loc_name	lat_lon	sample_location	sample_content	runid	libraryid
SAMN33821386	Successfully loaded	MQ200330-1			wastewater metagenome	2019-06-11	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Aalborg West	57.0480 N 9.8655 E	after primary settling	IWW	200330_M00878_0370_000000000-CPYLY_1	AAW-A-1A-1
SAMN33821387	Successfully loaded	MQ200330-2			wastewater metagenome	2019-06-11	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Aalborg West	57.0480 N 9.8655 E	after primary settling	IWW	200330_M00878_0370_000000000-CPYLY_1	AAW-A-1B-1
SAMN33821388	Successfully loaded	MQ200330-9			wastewater metagenome	2019-06-16	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Aalborg West	57.0480 N 9.8655 E	after primary settling	IWW	200330_M00878_0370_000000000-CPYLY_1	AAW-A-1A-5
SAMN33821389	Successfully loaded	MQ200330-10			wastewater metagenome	2019-06-16	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Aalborg West	57.0480 N 9.8655 E	after primary settling	IWW	200330_M00878_0370_000000000-CPYLY_1	AAW-A-1B-5
SAMN33821390	Successfully loaded	MQ200330-19			wastewater metagenome	2019-03-25	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Aalborg West	57.0480 N 9.8655 E	after primary settling	IWW	200330_M00878_0370_000000000-CPYLY_1	AAW-A-1A-10
SAMN33821391	Successfully loaded	MQ200330-20			wastewater metagenome	2019-03-25	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Aalborg West	57.0480 N 9.8655 E	after primary settling	IWW	200330_M00878_0370_000000000-CPYLY_1	AAW-A-1B-10
SAMN33821392	Successfully loaded	MQ200330-23			wastewater metagenome	2019-05-06	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Aalborg West	57.0480 N 9.8655 E	after primary settling	IWW	200330_M00878_0370_000000000-CPYLY_1	AAW-A-1A-12
SAMN33821393	Successfully loaded	MQ200330-24			wastewater metagenome	2019-05-06	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Aalborg West	57.0480 N 9.8655 E	after primary settling	IWW	200330_M00878_0370_000000000-CPYLY_1	AAW-A-1B-12
SAMN33821394	Successfully loaded	MQ200330-29			wastewater metagenome	2019-05-13	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Aalborg West	57.0480 N 9.8655 E	after primary settling	IWW	200330_M00878_0370_000000000-CPYLY_1	AAW-A-1A-15
SAMN33821395	Successfully loaded	MQ200330-30			wastewater metagenome	2019-05-13	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Aalborg West	57.0480 N 9.8655 E	after primary settling	IWW	200330_M00878_0370_000000000-CPYLY_1	AAW-A-1B-15
SAMN33821396	Successfully loaded	MQ200330-31			wastewater metagenome	2019-04-30	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Aalborg West	57.0480 N 9.8655 E	after primary settling	IWW	200330_M00878_0370_000000000-CPYLY_1	AAW-A-1A-16
SAMN33821397	Successfully loaded	MQ200330-32			wastewater metagenome	2019-04-30	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Aalborg West	57.0480 N 9.8655 E	after primary settling	IWW	200330_M00878_0370_000000000-CPYLY_1	AAW-A-1B-16
